S.No.,Company,Type,Rating,Reviewers,Age,Highly_Ratedfor,Critically_Ratedfor
209,DTDC Express,Logistics,3.8,2500,34,"Promotions / Appraisal, Salary & Benefits",None
210,Maersk,Logistics,4.3,2500,120,"Company Culture, Work Life Balance, Job Security",None
211,ABB Group,Industrial Automation,4.1,2500,36,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
212,24/7 Customer,BPO,3.6,2500,24,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
213,Aarti Industries,Agro Chemicals,4.2,2500,49,"Job Security, Work Life Balance, Skill Development / Learning",None
214,Honda Motorcycle & Scooter,Automobile,4.2,2500,23,"Job Security, Company Culture, Work Life Balance",None
215,Wipro Infotech,IT Services & Consulting,4,2500,79,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
216,Carelon Global Solutions,IT Services & Consulting,4,2500,39.39854522,"Job Security, Salary & Benefits, Company Culture",None
217,Johnson Controls,Industrial Automation,3.7,2500,139,"Promotions / Appraisal, Work Satisfaction",None
218,HDFC Ergo General Insurance,Insurance,4.1,2500,22,"Job Security, Company Culture, Work Life Balance",None
219,NatWest Group,Banking,4,2500,39.39854522,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
220,PolicyBazaar,Internet,3.5,2500,16,"Work Life Balance, Promotions / Appraisal, Company Culture",None
221,MRF Tyres,Auto Components,3.8,2500,78,Job Security,"Company Culture, Work Satisfaction, Work Life Balance"
222,CMS IT Services,IT Services & Consulting,3.2,2500,10,"Promotions / Appraisal, Salary & Benefits, Company Culture",None
223,Cogent E Services,BPO,3.4,2500,20,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",None
224,RBL Bank,Banking,3.8,2500,81,Promotions / Appraisal,None
225,Paras Hospital,Healthcare,4.6,2500,18,"Skill Development / Learning, Company Culture, Work Life Balance",None
226,Reliance Nippon Life Insurance,Insurance,3.9,2500,24,None,None
227,Reliance Digital,Retail,4.2,2400,17,"Job Security, Skill Development / Learning, Company Culture",None
228,PNB MetLife,Insurance,3.5,2400,23,"Job Security, Work Satisfaction, Promotions / Appraisal",None
229,Jubilant Foods Works,Hospitality,3.9,2400,29,"Skill Development / Learning, Salary & Benefits",None
230,GeBBS Healthcare Solutions,BPO,3.7,2400,19,Job Security,"Promotions / Appraisal, Salary & Benefits"
231,Escorts Kubota Limited,Automobile,4.1,2400,80,"Skill Development / Learning, Company Culture, Work Life Balance",None
232,Wipro Consumer Care & Lighting,FMCG,3.9,2400,79,Job Security,Promotions / Appraisal
233,Ceat Tyres,Auto Components,4.1,2400,66,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
234,Kotak Mahindara Life Insurance,Insurance,3.9,2400,23,Job Security,None
235,Dabur,FMCG,3.8,2400,140,Promotions / Appraisal,None
236,Axis Direct,Financial Services,3.9,2400,13,Promotions / Appraisal,None
237,Conduent,BPO,3.6,2400,7,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",None
238,JK Cement,Building Material,4.2,2400,50,"Salary & Benefits, Company Culture, Job Security",None
239,InterGlobe Aviation,Aviation,3.6,2400,19,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
240,Synechron,IT Services & Consulting,3.7,2400,23,"Salary & Benefits, Skill Development / Learning",Job Security
241,Shoppers Stop,Retail,4.1,2300,33,"Job Security, Company Culture, Skill Development / Learning",None
242,Birlasoft,IT Services & Consulting,3.8,2300,29,"Promotions / Appraisal, Salary & Benefits",None
243,ACC,Building Material,3.9,2300,88,Promotions / Appraisal,None
244,HARMAN,Consumer Electronics & Appliances,3.8,2300,15,Work Life Balance,Promotions / Appraisal
245,Lenskart,Internet,3.3,2300,14,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",None
246,ArcelorMittal Nippon Steel,Iron & Steel,4.1,2300,39.39854522,"Job Security, Skill Development / Learning, Work Life Balance",None
247,Reliance SMSL,BPO,4,2300,17,"Skill Development / Learning, Salary & Benefits, Work Life Balance",Promotions / Appraisal
248,GATI-KWE,Logistics,4,2300,12,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
249,Indiabulls Home Loans,NBFC,3.9,2300,19,Promotions / Appraisal,None
250,PepsiCo,Food Processing,4.2,2300,59,"Job Security, Company Culture, Skill Development / Learning",None
251,KPIT Technologies,Software Product,3.6,2300,34,"Promotions / Appraisal, Job Security, Work Satisfaction",None
252,UPL,Agro Chemicals,4.2,2300,55,"Job Security, Skill Development / Learning, Work Life Balance",None
253,S&P Global,Analytics & KPO,4.2,2300,164,"Company Culture, Work Life Balance, Job Security",None
254,Torrent Pharmaceuticals,Pharma,4,2300,53,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
255,Dilip Buildcon,Engineering & Construction,4,2200,37,"Skill Development / Learning, Work Satisfaction",None
