S.No.,Company,Type,Rating,Reviewers,Age,Highly_Ratedfor,Critically_Ratedfor
256,RSPL Group,FMCG,4.2,2200,36,"Job Security, Skill Development / Learning, Work Life Balance",None
257,Tech Mahindra Business Services,BPO,3.5,2200,21,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
258,Titan Company,Retail,4.4,2200,40,"Company Culture, Job Security, Skill Development / Learning",None
259,Square Yards,Internet,3.9,2200,11,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",None
260,TVS Credit,NBFC,4.5,2200,16,"Skill Development / Learning, Work Life Balance, Job Security",None
261,Wipro Enterprises Ltd,IT Services & Consulting,3.9,2200,79,"Job Security, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
262,Tata AIG,Insurance,4.2,2200,24,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
263,EY Global Delivery Services ( EY GDS),Accounting & Auditing,3.7,2200,22,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Satisfaction, Work Life Balance"
264,Bajaj Electricals,Consumer Electronics & Appliances,4.1,2200,86,"Salary & Benefits, Company Culture, Work Life Balance",None
265,Aditya Birla Sun Life Insurance,Insurance,4.2,2200,24,"Job Security, Company Culture, Work Life Balance",None
266,IDFC FIRST Bharat,NBFC,4.6,2200,8,"Salary & Benefits, Job Security, Company Culture",None
267,Statestreet HCL Services,BPO,3.3,2200,12,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
268,Alstom Transportation,Engineering & Construction,3.9,2200,96,Job Security,Promotions / Appraisal
269,IGT Solutions,BPO,3.4,2200,26,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
270,Afcons Infrastructure,Engineering & Construction,4.4,2200,65,"Job Security, Skill Development / Learning, Company Culture",None
271,Apollo Tyres,Auto Components,4.1,2200,52,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
272,Mankind Pharma,Pharma,4.1,2200,29,"Salary & Benefits, Skill Development / Learning, Job Security",None
273,Simplex Infrastructures,Engineering & Construction,3.3,2100,100,"Salary & Benefits, Promotions / Appraisal, Company Culture",None
274,Domino's Pizza,Hospitality,4,2100,64,"Skill Development / Learning, Salary & Benefits",None
275,Suzlon Group,Power,4.2,2100,29,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
276,Capita,IT Services & Consulting,3.8,2100,19,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
277,Zensar Technologies,IT Services & Consulting,3.8,2100,23,Work Life Balance,Promotions / Appraisal
278,Flex,Electronics Manufacturing,4.2,2100,55,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
279,State Street Corporation,Financial Services,3.8,2100,232,Job Security,Promotions / Appraisal
280,Max Healthcare,Healthcare,4.2,2100,23,"Skill Development / Learning, Job Security, Company Culture",None
281,KocharTech,IT Services & Consulting,4.1,2100,29,"Skill Development / Learning, Company Culture, Work Satisfaction",None
282,Huawei Technologies,Telecom,4,2100,22,"Salary & Benefits, Skill Development / Learning",Job Security
283,Bajaj Allianz General Insurance,Insurance,4,2100,39.39854522,"Skill Development / Learning, Company Culture, Salary & Benefits",None
284,McDonald's,Hospitality,4.2,2100,69,"Skill Development / Learning, Company Culture, Job Security",None
285,Croma,Retail,4.1,2100,18,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
286,Tata Technologies,Engineering & Construction,3.8,2100,35,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
287,I Process Services,Recruitment,3.9,2100,19,"Promotions / Appraisal, Salary & Benefits",None
288,Taj Hotels Resorts and Palaces,Hospitality,4.2,2100,121,"Job Security, Company Culture, Skill Development / Learning",None
289,Grasim Industries,Building Material,4.1,2100,77,"Job Security, Skill Development / Learning, Company Culture",None
290,HDFC Sales,Financial Services,4.1,2100,20,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
291,ElasticRun,Logistics,3.4,2100,8,"Job Security, Promotions / Appraisal, Work Satisfaction",None
292,Nestle,Food Processing,4.2,2100,65,"Salary & Benefits, Skill Development / Learning, Job Security",None
293,UNO Minda,Auto Components,4.1,2000,66,"Job Security, Skill Development / Learning, Company Culture",None
294,Landmark Group,Retail,4.1,2000,51,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
295,Walmart,Retail,4,2000,15,"Job Security, Company Culture, Salary & Benefits",Promotions / Appraisal
296,Lava International,Consumer Electronics & Appliances,4.1,2000,15,"Skill Development / Learning, Company Culture, Work Life Balance",None
297,AGS Health,BPO,4,2000,13,"Job Security, Company Culture, Skill Development / Learning",None
298,Nokia,Telecom,4.2,2000,159,"Work Life Balance, Company Culture, Job Security",None
299,Blue Dart Express,Logistics,4.1,2000,41,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
300,Patanjali Ayurved,FMCG,4.1,2000,18,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
301,Tractors and Farm Equipment,Industrial Machinery,4.1,2000,64,"Skill Development / Learning, Work Life Balance, Company Culture",Promotions / Appraisal
302,G4S,Law Enforcement & Security,4.1,2000,28,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
303,Fortis Healthcare,Healthcare,4.1,2000,28,"Skill Development / Learning, Job Security, Company Culture",None
304,Capgemini Engineering,Unknown,3.6,2000,39.39854522,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
305,Societe Generale,Financial Services,3.9,2000,24,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
306,State Street Syntel,Financial Services,3.7,2000,20,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
307,BlackBuck,Internet,3.9,2000,9,Salary & Benefits,"Job Security, Promotions / Appraisal"
308,Britannia,FMCG,4.1,2000,132,"Job Security, Skill Development / Learning, Company Culture",None
309,TVS Supply Chain Solutions,Logistics,4,2000,128,Job Security,"Promotions / Appraisal, Salary & Benefits"
310,Fiserv,FinTech,3.7,2000,40,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",None
311,Micro Labs,Pharma,3.7,2000,51,Job Security,"Salary & Benefits, Promotions / Appraisal, Company Culture"
312,KFintech,FinTech,3.6,1900,7,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
313,Voltas,Consumer Electronics & Appliances,4.1,1900,70,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
314,Sterlite Technologies,Hardware & Networking,3.8,1900,36,Promotions / Appraisal,None
315,Shree Cement,Building Material,4.1,1900,45,Work Life Balance,Promotions / Appraisal
316,Exide Industries,Auto Components,3.6,1900,77,"Promotions / Appraisal, Company Culture, Work Satisfaction",None
317,Kyndryl,IT Services & Consulting,4.1,1900,3,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
318,Ola Cabs,Internet,3.5,1900,14,"Job Security, Promotions / Appraisal, Company Culture",None
319,Yazaki,Auto Components,3.9,1900,83,Promotions / Appraisal,None
320,Radisson Hotels,Hospitality,4.1,1900,115,"Skill Development / Learning, Work Life Balance, Job Security",None
321,Himalaya Wellness,Pharma,4.2,1900,94,"Work Life Balance, Skill Development / Learning, Company Culture",None
322,Dalmia Bharat Cement,Building Material,4.1,1900,89,"Job Security, Skill Development / Learning, Salary & Benefits",None
323,Quest Global,IT Services & Consulting,3.7,1900,27,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
324,Lifestyle,Retail,4.4,1900,25,"Company Culture, Job Security, Skill Development / Learning",None
325,IKS Health,Healthcare,3.6,1900,17,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
326,Eureka Forbes,Consumer Electronics & Appliances,3.9,1900,42,Skill Development / Learning,"Promotions / Appraisal, Job Security"
327,Ajanta Pharma,Pharma,4.1,1900,51,"Job Security, Work Life Balance, Company Culture",None
328,Blue Star,Consumer Electronics & Appliances,4.1,1900,81,"Company Culture, Skill Development / Learning, Work Satisfaction",None
329,ACT Fibernet,Telecom,4.1,1800,16,"Job Security, Company Culture, Salary & Benefits",None
330,XpressBees,Logistics,3.8,1800,9,Promotions / Appraisal,None
331,Aditya Birla Group,Building Material,4.1,1800,167,"Job Security, Skill Development / Learning, Company Culture",None
332,Motilal Oswal Financial Services,Financial Services,3.8,1800,37,Skill Development / Learning,Promotions / Appraisal
333,Extramarks Education,EdTech,3.5,1800,17,"Job Security, Promotions / Appraisal, Work Satisfaction",None
334,Sonalika Tractors,Automobile,3.8,1800,55,Job Security,"Promotions / Appraisal, Company Culture, Work Life Balance"
335,DS Group,FMCG,4.1,1800,95,"Work Life Balance, Job Security",Promotions / Appraisal
336,Nokia Networks,Hardware & Networking,4.3,1800,39.39854522,"Company Culture, Work Life Balance, Work Satisfaction",None
337,Life Insurance Corporation of India,Insurance,4.4,1800,68,"Work Life Balance, Company Culture, Salary & Benefits",None
338,Mahindra Rural Housing Finance,NBFC,4.1,1800,17,"Company Culture, Work Life Balance, Job Security",None
339,Cholamandalam MS General Insurance,Insurance,3.9,1800,23,Promotions / Appraisal,None
340,Zomato,Internet,3.7,1800,16,"Promotions / Appraisal, Job Security",None
341,Mahindra Logistics,Logistics,4.1,1800,24,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
342,Delhi Public School,Education & Training,3.9,1800,26,Skill Development / Learning,None
343,Indus Towers,Telecom,4,1800,17,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal
344,PVR Cinemas,Media & Entertainment,4.1,1800,27,"Skill Development / Learning, Job Security, Company Culture",None
345,Future Retail,Retail,4.3,1800,37,"Skill Development / Learning, Company Culture, Work Satisfaction",None
346,JMC Projects,Engineering & Construction,4.2,1800,42,"Job Security, Skill Development / Learning, Salary & Benefits",None
347,Rivigo,Internet,3.9,1800,10,Skill Development / Learning,"Promotions / Appraisal, Job Security, Salary & Benefits"
348,Emcure Pharmaceuticals,Pharma,3.8,1800,43,"Job Security, Promotions / Appraisal",None
349,SRF,Chemicals,4.3,1800,54,"Job Security, Salary & Benefits, Skill Development / Learning",None
350,V-Mart,Retail,4.3,1800,22,"Skill Development / Learning, Job Security, Company Culture",None
351,Myntra,Internet,4,1800,17,"Company Culture, Skill Development / Learning, Work Life Balance",None
352,Ninjacart,Internet,4.1,1800,9,"Salary & Benefits, Skill Development / Learning, Company Culture",None
353,Parle Agro,Beverage,4.2,1800,40,"Job Security, Work Life Balance, Skill Development / Learning",None
354,Kalpataru Power Transmission,Engineering & Construction,4.2,1800,43,"Job Security, Skill Development / Learning, Company Culture",None
355,Datamatics Global Services,IT Services & Consulting,3.6,1800,49,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
356,Movate,IT Services & Consulting,3.5,1800,28,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
357,Kansai Nerolac Paints,Chemicals,3.9,1700,104,Job Security,Promotions / Appraisal
358,Renault-Nissan,Automobile,4.1,1700,17,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
359,Pfizer,Pharma,4.1,1700,20,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
360,Tata Teleservices,Telecom,4.1,1700,28,"Work Life Balance, Company Culture, Skill Development / Learning",None
361,Fujitsu,IT Services & Consulting,3.9,1700,89,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
362,Mahindra Holidays & Resorts,Hospitality,3.6,1700,28,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",None
363,VVDN Technologies,IT Services & Consulting,3.7,1700,17,"Promotions / Appraisal, Salary & Benefits, Company Culture",None
364,Indian Railways,Railways,4.2,1700,171,"Job Security, Skill Development / Learning, Work Satisfaction",None
365,MSN Laboratories,Pharma,3.8,1700,21,Job Security,Company Culture
366,3i Infotech,IT Services & Consulting,3.6,1700,31,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",None
367,BHEL,Electrical Equipment,4.1,1700,60,"Job Security, Work Life Balance, Company Culture",None
368,KPMG Global Services,Unknown,3.7,1700,39.39854522,Job Security,"Promotions / Appraisal, Work Satisfaction"
369,Raymond,Fashion & Textile,4.1,1700,99,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
370,Reliance Trends,Retail,4.3,1700,18,"Skill Development / Learning, Job Security, Company Culture",None
371,Blinkit,Internet,3.9,1700,11,Skill Development / Learning,"Job Security, Promotions / Appraisal"
372,ICICI Securities,Financial Services,3.8,1700,29,Job Security,"Promotions / Appraisal, Work Satisfaction"
373,Cybage,IT Services & Consulting,4,1700,29,"Job Security, Company Culture, Work Life Balance",None
374,Ambuja Cements,Building Material,4,1700,41,Promotions / Appraisal,None
375,JCB,Industrial Machinery,4,1700,79,"Work Life Balance, Company Culture",Promotions / Appraisal
376,Cadila Pharmaceuticals,Pharma,3.5,1700,73,"Job Security, Promotions / Appraisal, Work Satisfaction",None
377,suzuki motor gujarat,Unknown,4.3,1700,39.39854522,"Job Security, Company Culture, Salary & Benefits",None
378,Info Edge,Internet,4.1,1700,29,"Job Security, Company Culture, Work Life Balance",None
379,Shell,Oil & Gas,4.3,1700,117,"Work Life Balance, Company Culture, Salary & Benefits",None
380,GlaxoSmithKline Pharmaceuticals,Pharma,4.1,1600,194,"Company Culture, Skill Development / Learning, Work Life Balance",None
381,Foundever,BPO,3.8,1600,39,Job Security,"Promotions / Appraisal, Salary & Benefits"
382,Poonawalla Fincorp,NBFC,3.9,1600,36,"Promotions / Appraisal, Job Security",None
383,ZS,Management Consulting,3.5,1600,41,Salary & Benefits,"Work Life Balance, Work Satisfaction"
384,Whirlpool,Consumer Electronics & Appliances,4.1,1600,113,"Work Life Balance, Company Culture, Job Security",None
385,Bharat Petroleum,Oil & Gas,4.2,1600,72,"Skill Development / Learning, Salary & Benefits, Work Life Balance",None
386,PhonePe,FinTech,4.1,1600,9,"Salary & Benefits, Company Culture, Job Security",None
387,Tata Elxsi,IT Services & Consulting,4,1600,35,"Job Security, Work Life Balance, Company Culture",None
388,Jindal Stainless,Iron & Steel,4.2,1600,54,"Job Security, Skill Development / Learning, Work Life Balance",None
389,Endurance Technologies,Auto Components,3.9,1600,39,Skill Development / Learning,Promotions / Appraisal
390,Force Motors,Automobile,3.6,1600,66,"Promotions / Appraisal, Company Culture, Salary & Benefits",None
391,NoBroker,Internet,3.3,1600,10,"Work Satisfaction, Job Security, Promotions / Appraisal",None
392,Fincare Small Finance Bank,Banking,4.1,1600,17,"Job Security, Skill Development / Learning, Work Life Balance",None
393,ITC Hotels,Hospitality,4.2,1600,49,"Job Security, Skill Development / Learning, Company Culture",None
394,Syngene International,Pharma,4,1600,31,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
395,GVK Emergency Management and Research Institute,Non-Profit,3.7,1600,19,"Promotions / Appraisal, Job Security, Salary & Benefits",None
396,Shahi Exports,Retail,4.1,1600,50,"Job Security, Skill Development / Learning, Company Culture",None
397,Bharti AXA Life Insurance,Insurance,3.9,1600,18,None,None
398,Delphi TVS,Auto Components,4.1,1600,35,"Skill Development / Learning, Work Satisfaction, Company Culture",Promotions / Appraisal
399,Kalyan Jewellers,Jewellery,4.7,1600,31,"Skill Development / Learning, Company Culture, Salary & Benefits",None
400,Sobha,Real Estate,4,1600,29,"Job Security, Skill Development / Learning",None
401,Brakes India,Auto Components,4.1,1600,62,"Job Security, Skill Development / Learning, Work Satisfaction",Promotions / Appraisal
402,Lodha group,Real Estate,4.1,1600,44,"Skill Development / Learning, Company Culture, Work Life Balance",None
403,Care Health Insurance,Internet,3.7,1600,12,"Promotions / Appraisal, Salary & Benefits, Company Culture",None
404,HCL Infosystems,IT Services & Consulting,4,1600,48,"Job Security, Work Life Balance, Company Culture",None
405,Aavas Financiers,Financial Services,4,1600,13,Skill Development / Learning,None
406,Sterling & Wilson,Engineering & Construction,4.1,1600,97,"Work Life Balance, Company Culture, Skill Development / Learning",None
